1,7
2,4
3,2
4,22
5,8
6,17
7,14
8,1
9,16
10,13
11,11
12,5
13,12
14,20
15,19
16,6
17,18
18,9
19,3
20,21
21,15
22,10
23,10
24,15
25,21
26,3
27,9
28,18
29,6
30,19
31,20
32,12
33,5
34,11
35,13
36,16
37,1
38,14
39,17
40,8
41,22
42,2
43,4
44,7
45,7
46,4
47,2
48,22
49,8
50,17
51,14
52,1
53,16
54,13
55,11
56,5
57,12
58,20
59,19
60,6
61,18
62,9
63,3
64,21
65,15
66,10
67,10
68,15
69,21
70,3
71,9
72,18
73,6
74,19
75,20
76,12
77,5
78,11
79,13
80,16
81,1
82,14
83,17
84,8
85,22
86,2
87,4
88,7
89,7
90,4
91,2
92,22
93,8
94,17
95,14
96,1
97,16
98,13
99,11
100,5
101,12
102,20
103,19
104,6
105,18
106,9
107,3
108,21
109,15
110,10
111,10
112,15
113,21
114,3
115,9
116,18
117,6
118,19
119,20
120,12
121,5
122,11
123,13
124,16
125,1
126,14
127,17
128,8
129,22
130,2
131,4
132,7
133,7
134,4
135,2
136,22
137,8
138,17
139,14
140,1
141,16
142,13
143,11
144,5
145,12
146,20
147,19
148,6
149,18
150,9
151,3
152,21
153,15
154,10
155,10
156,15
157,21
158,3
159,9
160,18
161,6
162,19
163,20
164,12
165,5
166,11
167,13
168,16
169,1
170,14
171,17
172,8
173,22
174,2
175,4
176,7
177,7
178,4
179,2
180,22
181,8
182,17
183,14
184,1
185,16
186,13
187,11
188,5
189,12
190,20
191,19
192,6
193,18
194,9
195,3
196,21
197,15
198,10
199,10
200,15
201,21
202,3
203,9
204,18
205,6
206,19
207,20
208,12
209,5
210,11
211,13
212,16
213,1
214,14
215,17
216,8
217,22
218,2
219,4
220,7
221,7
222,4
223,2
224,22
225,8
226,17
227,14
228,1
229,16
230,13
231,11
232,5
233,12
234,20
235,19
236,6
237,18
238,9
239,3
240,21
241,15
242,10
243,10
244,15
245,21
246,3
247,9
248,18
249,6
250,19
251,20
252,12
253,5
254,11
255,13
256,16
257,1
258,14
259,17
260,8
261,22
262,2
263,4
264,7
